Horodate;Mois;Injection RTE (W);Refoulement RTE (W);Pertes modélisées (W);Consommations totale (W);Consommation totale télérelevée (W);Consommation totale profilée (W);Consommation HTA profilée (W);Consommation PME-PMI profilée (W);Consommation professionnelle profilée (W);Consommation résidentielle profilée (W);Production décentralisée totale (W);Production décentralisée télérelevée à courbe de charge (W);Production décentralisée profilée (W);Production photovoltaïque profilée (W);Production autre profilée (W);Température réalisée lissée (°C);Température normale lissée (°C);Production éolienne totale (W);Production photovoltaïque totale (W);Pseudo rayonnement;Consommation HTA totale (W);Soutirage net vers autres GRD (W)
2019-07-01T17:00:00+02:00;7;35128983000.0;957223000.0;2288800774.0;37977020055.0;14468042787.0;23508977268.0;1713384155.0;6579740907.0;4491521906.0;10724330301.0;6371229929.0;4351765041.0;2019464888.0;2006646217.0;1023807.0;24.8;22.2;1700964333.0;3612476602.0;66;16181426942.0;277169100.0
2019-07-01T19:00:00+02:00;7;36575441000.0;1056996000.0;2296189328.0;37839656773.0;13406221122.0;24433435651.0;1521550954.0;5443799551.0;3918388462.0;13549696683.0;4898700118.0;4160279360.0;738420758.0;725567380.0;1023807.0;24.3;21.8;2459465333.0;1343829335.0;62;14927772076.0;281299017.0
2019-07-02T06:30:00+02:00;7;30206588000.0;781949000.0;1835597024.0;30334931444.0;12868092344.0;17466839100.0;1519956114.0;4330281425.0;2780970794.0;8835630767.0;2998205735.0;2921887024.0;76318711.0;63646364.0;1044449.0;22.2;19.6;1824295333.0;116281801.0;72;14388048458.0;252316267.0
2019-07-02T07:00:00+02:00;7;32102669000.0;696417000.0;1939411406.0;32326872966.0;13383920637.0;18942952329.0;1738987639.0;4735629249.0;3059223380.0;9409112061.0;3128038139.0;2951942439.0;176095700.0;163388322.0;1044449.0;22.1;19.5;1752098000.0;314561423.0;74;15122908276.0;268005767.0
2019-07-02T12:00:00+02:00;7;38298515000.0;782792000.0;2513900470.0;41459331067.0;15176408849.0;26282922218.0;1995321140.0;7161186024.0;4976624501.0;12149790553.0;6765790653.0;4016358960.0;2749431693.0;2736548329.0;1044449.0;23.5;20.8;736485000.0;4981958024.0;74;17171729989.0;308282116.0
2019-07-03T06:30:00+02:00;7;29176930000.0;2097003000.0;1888526375.0;30043191907.0;12921428343.0;17121763564.0;1497078282.0;4366290746.0;2743947419.0;8514447117.0;5070228965.0;4994034560.0;76194405.0;64077145.0;1044449.0;21.7;19.7;3887085333.0;115335869.0;69;14418506625.0;218437683.0
2019-07-03T10:00:00+02:00;7;35668932000.0;1493247000.0;2404842489.0;39150814350.0;15278958090.0;23871856260.0;1971723317.0;7357309504.0;4724850465.0;9817972973.0;7658861055.0;5702613151.0;1956247904.0;1943410533.0;1044449.0;22.2;19.9;2709514667.0;3868334818.0;81;17250681407.0;278889216.0
2019-07-03T16:00:00+02:00;7;34974157000.0;1776141000.0;2434942586.0;39394819563.0;15233214209.0;24161605354.0;1857902053.0;7115785925.0;4744323468.0;10443593908.0;8888493399.0;6257929393.0;2630564006.0;2617772381.0;1044449.0;25.0;22.2;2873650333.0;4965074028.0;83;17091116262.0;256747250.0
2019-07-03T16:30:00+02:00;7;34682832000.0;1807331000.0;2402560198.0;38878325358.0;15042882117.0;23835443241.0;1859400438.0;6934922630.0;4766693827.0;10274426346.0;8661196073.0;6223276222.0;2437919851.0;2424839041.0;1044449.0;25.1;22.3;3073541000.0;4535232935.0;82;16902282555.0;255811517.0
2019-07-03T17:30:00+02:00;7;34437460000.0;1857498000.0;2349548993.0;37998299726.0;14504788752.0;23493510974.0;1754183835.0;6490705582.0;4744178500.0;10504443058.0;8018932369.0;6133210647.0;1885721722.0;1872594767.0;1044449.0;25.1;22.3;3493194667.0;3446318778.0;78;16258972587.0;251045650.0
2019-07-03T20:30:00+02:00;7;33534137000.0;2152057000.0;2168954741.0;34751968431.0;12394402139.0;22357566292.0;1466027998.0;4528745697.0;3358609597.0;13004183000.0;5785765655.0;5640363790.0;145401865.0;132368939.0;1044449.0;23.9;21.3;4435345000.0;246828343.0;65;13860430137.0;246922483.0
2019-07-03T23:30:00+02:00;7;35079694000.0;2812674000.0;2304505323.0;36140871315.0;11356091601.0;24784779714.0;1450580346.0;3598079979.0;3720157328.0;16015962061.0;6453855955.0;6440417460.0;13438495.0;0.0;1044449.0;22.3;20.3;5370840667.0;488040.0;69;12806671947.0;275499317.0
2019-07-04T05:30:00+02:00;7;26677279000.0;2231301000.0;1767389860.0;27623626468.0;12023258203.0;15600368265.0;1528221161.0;3609949400.0;2848196921.0;7614000782.0;5128097361.0;5109332500.0;18764861.0;7200369.0;462331.0;21.6;19.8;4016446333.0;7810742.0;90;13551479364.0;183059033.0
2019-07-04T09:00:00+02:00;7;35424328000.0;800546000.0;2256122673.0;37555357642.0;14934503024.0;22620854618.0;1963353733.0;6898161331.0;4458875119.0;9300464435.0;5472486365.0;4143631313.0;1328855052.0;1316953884.0;462331.0;21.6;19.7;1659092333.0;2728403095.0;97;16897856757.0;284788050.0
2019-07-04T10:00:00+02:00;7;36318653000.0;877045000.0;2369584918.0;39256781069.0;15389449148.0;23867331921.0;2051379501.0;7417896684.0;4933507764.0;9464547973.0;6471950187.0;4403334345.0;2068615842.0;2056597317.0;462331.0;22.1;20.0;1263112333.0;4121395270.0;97;17440828649.0;287192200.0
2019-07-04T12:00:00+02:00;7;37444400000.0;1365821000.0;2566463319.0;41648274538.0;15373664529.0;26274610009.0;1946809932.0;7071664827.0;5069917121.0;12186218128.0;8417312440.0;5463771802.0;2953540638.0;2941335295.0;462331.0;23.7;20.9;1527966333.0;5803608148.0;98;17320474461.0;281153583.0
2019-07-04T12:30:00+02:00;7;38008466000.0;1392794000.0;2613327877.0;42265101546.0;15243541218.0;27021560328.0;1952134074.0;6712104400.0;4891017226.0;13466304627.0;8540725023.0;5512447918.0;3028277105.0;3015932507.0;462331.0;24.0;21.2;1499286333.0;5961063496.0;98;17195675292.0;277967600.0
2019-07-04T14:00:00+02:00;7;37621452000.0;1229299000.0;2561744332.0;41739815548.0;15682606612.0;26057208936.0;2019010766.0;7273927744.0;5037458191.0;11726812235.0;8188129963.0;5091015810.0;3097114153.0;3084909134.0;462331.0;25.1;21.9;1031037995.0;6075393155.0;98;17701617378.0;278723083.0
