Périmètre;Nature;Date;Heure;Date et Heure;Consommation (MW);Prévision J-1 (MW);Prévision J (MW);Fioul (MW);Charbon (MW);Gaz (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Taux de CO2 (g/kWh);Ech. comm. Angleterre (MW);Ech. comm. Espagne (MW);Ech. comm. Italie (MW);Ech. comm. Suisse (MW);Ech. comm. Allemagne-Belgique (MW);Fioul - TAC (MW);Fioul - Cogénération (MW);Fioul - Autres (MW);Gaz - TAC (MW);Gaz - Cogénération (MW);Gaz - CCG (MW);Gaz - Autres (MW);Hydraulique - Fil de l'eau + éclusée (MW);Hydraulique - Lacs (MW);Hydraulique - STEP turbinage (MW);Bioénergies - Déchets (MW);Bioénergies - Biomasse (MW);Bioénergies - Biogaz (MW)
France;Données consolidées;2019-07-12;17:45;2019-07-12T17:45:00+02:00;;50650;50450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-12;18:00;2019-07-12T18:00:00+02:00;50747;50800;50600;466;18;4214;40478;5325;3725;5621;-88;1028;-10040;47;-2000;-1500;-2477;-687;-1586;16;72;370;-1;419;3769;26;3699;1367;555;494;250;284
France;Données consolidées;2019-07-12;19:30;2019-07-12T19:30:00+02:00;50376;50100;50000;457;19;3733;41179;4674;1661;6556;-31;1028;-8900;45;-2000;-1500;-2477;-176;-2236;16;73;356;0;421;3286;26;4050;1694;812;486;259;283
France;Données consolidées;2019-07-12;21:30;2019-07-12T21:30:00+02:00;46124;46000;46000;476;19;3933;41405;3181;36;6175;-360;1039;-9779;50;-2000;-1500;-2477;-1487;-1942;16;73;378;0;423;3481;29;4074;1702;398;498;255;286
France;Données consolidées;2019-07-12;22:30;2019-07-12T22:30:00+02:00;47810;47900;48000;478;19;3938;41247;2968;2;6031;-33;1037;-7876;50;-2000;-1500;-2477;-541;72;17;72;381;-1;426;3484;28;3984;1644;403;501;253;284
France;Données consolidées;2019-07-13;00:30;2019-07-13T00:30:00+02:00;45249;44600;44600;340;19;3431;40559;2473;1;6590;-52;1056;-9168;46;-1704;-1200;-2767;-955;-2422;17;73;244;-1;406;2996;29;4024;1714;852;516;260;280
France;Données consolidées;2019-07-13;01:15;2019-07-13T01:15:00+02:00;;42050;42350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;02:00;2019-07-13T02:00:00+02:00;40824;41600;41900;122;17;2340;40100;2099;1;5011;-485;1065;-9445;39;-1406;-1200;-2767;-2214;-1960;17;73;28;0;409;1898;33;3634;1053;324;525;258;281
France;Données consolidées;2019-07-13;03:00;2019-07-13T03:00:00+02:00;38329;37800;38100;123;19;2186;39430;1942;0;4395;-813;1079;-10031;40;-1406;-1200;-2767;-2347;-2578;17;74;28;-1;408;1746;32;3501;894;0;538;261;280
France;Données consolidées;2019-07-13;03:15;2019-07-13T03:15:00+02:00;;37250;37750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;03:30;2019-07-13T03:30:00+02:00;37551;36700;37400;123;19;2197;39833;1948;0;4252;-1310;1072;-10583;40;-1406;-1200;-2767;-2347;-2598;17;74;28;0;405;1763;30;3482;771;0;536;258;279
France;Données consolidées;2019-07-13;05:00;2019-07-13T05:00:00+02:00;36050;35900;36000;124;19;1950;39559;1864;0;4115;-1747;1079;-10913;39;-1406;-1200;-2767;-2347;-3245;17;75;28;0;401;1530;20;3373;743;-1;534;265;280
France;Données consolidées;2019-07-13;05:15;2019-07-13T05:15:00+02:00;;35950;36350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;11:15;2019-07-13T11:15:00+02:00;;45550;46300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;13:15;2019-07-13T13:15:00+02:00;;47400;48150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;14:00;2019-07-13T14:00:00+02:00;46579;45700;46300;125;20;2049;39595;1532;6358;5191;-255;1064;-9100;34;-2000;-1250;-2221;-1494;-2499;16;75;29;0;402;1619;28;3682;1048;462;515;264;285
France;Données consolidées;2019-07-13;14:45;2019-07-13T14:45:00+02:00;;45350;45850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;15:15;2019-07-13T15:15:00+02:00;;44650;45100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;15:45;2019-07-13T15:45:00+02:00;;44250;44600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;17:30;2019-07-13T17:30:00+02:00;43763;43300;43300;125;20;1821;39898;2795;4577;4929;-989;1081;-10496;33;-2000;-1250;-2427;-1944;-2866;16;74;28;0;403;1389;29;3479;1075;374;533;265;283
France;Données consolidées;2019-07-13;17:45;2019-07-13T17:45:00+02:00;;43500;43500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;19:30;2019-07-13T19:30:00+02:00;44603;43800;43700;124;20;1914;40495;3157;1736;5846;-510;1088;-9267;34;-2000;-1250;-2427;-2069;-1971;16;74;28;0;405;1479;31;3796;1256;794;541;263;284
France;Données consolidées;2019-07-13;19:45;2019-07-13T19:45:00+02:00;;43500;43400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;20:45;2019-07-13T20:45:00+02:00;;41800;41800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;22:15;2019-07-13T22:15:00+02:00;;42750;42900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;00:15;2019-07-14T00:15:00+02:00;;43500;42650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;01:15;2019-07-14T01:15:00+02:00;;40050;39350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;01:30;2019-07-14T01:30:00+02:00;38972;39900;39500;125;19;1138;38784;3231;0;5001;-476;1114;-9965;33;-1604;-1200;-2767;-1918;-2434;17;74;28;0;396;715;28;3727;821;453;562;268;285
France;Données consolidées;2019-07-14;03:00;2019-07-14T03:00:00+02:00;35878;36200;35500;123;18;913;37942;2813;0;5150;-815;1111;-11375;32;-1407;-1200;-2767;-2331;-4454;15;74;28;0;389;494;30;3457;869;824;562;266;283
France;Données consolidées;2019-07-14;04:30;2019-07-14T04:30:00+02:00;33900;34200;33800;122;20;982;38576;2687;0;3740;-976;1113;-12363;33;-1407;-1000;-2767;-2347;-4958;15;74;28;-1;395;557;30;3034;428;279;565;265;284
France;Données consolidées;2019-07-14;05:15;2019-07-14T05:15:00+02:00;;33850;33450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;06:15;2019-07-14T06:15:00+02:00;;33050;32850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;07:45;2019-07-14T07:45:00+02:00;;34300;34350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;11:15;2019-07-14T11:15:00+02:00;;42000;41900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;14:15;2019-07-14T14:15:00+02:00;;42050;42200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;14:45;2019-07-14T14:45:00+02:00;;41500;41650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;15:45;2019-07-14T15:45:00+02:00;;40050;40250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;17:00;2019-07-14T17:00:00+02:00;39811;39200;39500;127;20;929;39156;5541;4836;3479;-1232;1071;-14116;27;-2000;-1200;-2427;-2347;-5484;16;73;28;0;349;549;32;3018;458;2;533;254;284
France;Données consolidées;2019-07-14;18:30;2019-07-14T18:30:00+02:00;41001;40400;40400;131;19;1326;39420;5719;3113;4080;-1138;1069;-12738;30;-2000;-1249;-2771;-2261;-4100;16;74;28;-1;366;930;30;3131;949;0;532;254;284
France;Données consolidées;2019-07-14;23:00;2019-07-14T23:00:00+02:00;45051;46700;45900;130;19;2108;39409;4577;0;7353;-55;1081;-9571;35;-2000;-1200;-2767;-968;-2127;17;75;29;0;399;1679;30;3882;1603;1869;542;257;282
France;Données consolidées;2019-07-14;23:30;2019-07-14T23:30:00+02:00;44198;45800;45000;127;18;2084;39330;4678;0;6628;-42;1088;-9713;35;-2000;-1200;-2767;-968;-1627;16;75;28;0;398;1656;31;3750;1342;1536;544;260;283
France;Données consolidées;2019-07-15;01:00;2019-07-15T01:00:00+02:00;39136;38800;38900;129;18;1378;38892;4637;0;4664;-464;1083;-11201;33;-1703;-1200;-2767;-2147;-3796;16;75;28;-1;381;966;32;3616;871;177;543;259;281
France;Données consolidées;2019-07-15;02:00;2019-07-15T02:00:00+02:00;37841;38400;38500;127;18;1368;38860;4359;0;4240;-476;1088;-11742;33;-1703;-1050;-2767;-2346;-4115;15;75;28;0;369;966;33;3387;854;0;552;255;281
France;Données consolidées;2019-07-15;04:00;2019-07-15T04:00:00+02:00;34698;35200;34800;127;18;1299;38777;3588;-1;3555;-1606;1091;-12149;35;-1703;-1000;-2767;-2347;-4327;15;75;28;0;364;904;31;3097;458;0;552;260;279
France;Données consolidées;2019-07-15;04:30;2019-07-15T04:30:00+02:00;34953;35500;35300;127;13;1244;38999;3414;0;3409;-1592;1087;-11749;34;-1703;-1000;-2767;-2347;-4327;15;75;28;0;367;847;30;3057;353;0;553;256;278
France;Données consolidées;2019-07-15;10:30;2019-07-15T10:30:00+02:00;50949;53600;50500;503;9;3873;40892;2392;4585;7283;-29;1026;-9586;46;-2000;-1250;-2603;773;-3932;17;74;403;0;400;3445;29;4054;1866;1363;508;243;275
